About how long have you been receiving information or resources from community veteran service providers?,Active military members/veterans can thrive in my community:To what extent do you disagree or agree with the following statements:,Approximately how much was your household annual income for the previous year?Â ,Approximately what is your credit score?,Are highly responsive:To what extent do you disagree or agree with the following statements regardingÂ veteran serving organizations within your community?,BMI,Community is involved with veterans?,Do you consider your current job a career?,FactorAnalysis0,FactorAnalysis0@FactorAnalysis0,FactorAnalysis1,FactorAnalysis1@FactorAnalysis0,FactorAnalysis1@FactorAnalysis14,FactorAnalysis1@FactorAnalysis4,FactorAnalysis3,FactorAnalysis3@FactorAnalysis1,Has Community Opportunities?,Has Dependable Support?,Has empowered me:To what extent do you disagree or agree with the following statements regardingÂ veteran serving organizations within your community?,Has helped me feel more fulfilled in my daily life:To what extent do you disagree or agree with the following statements regardingÂ veteran serving organizations within your community?,Has reliable transportation?,Have assisted me with filing healthcare/benefits claims:To what extent do you disagree or agree with the following statements regardingÂ veteran serving organizations within your community?,Have connected me to other veterans:To what extent do you disagree or agree with the following statements regardingÂ veteran serving organizations within your community?,Have connected my family/caregiver to other active military/veteran family members or their caregivers:To what extent do you disagree or agree with the following statements regardingÂ veteran serving organizations within your community?,Have improved my community's understanding of active military/veterans issues:To what extent do you disagree or agree with the following statements regardingÂ veteran serving organizations within your community?,How many are dependents?,How often do you participate in spiritual or religious practices? Â ,How would you rate your level of satisfaction with the education benefits and programs?: Rate the resources you may have received from VA or a community-based program:,I am able to adapt when changes occur:Please indicate how frequently you find each statement below to be truthful to you:,I have the resources I need for my care:To what extent do you disagree or agree with the following statements:,"I tend to bounce back after illness, injury, or other hardships:Please indicate how frequently you find each statement below to be truthful to you:",Number of Deployments:,Organizations in my community provide active military/veterans with the services they need:To what extent do you disagree or agree with the following statements:,"Overall, how satisfied are you withÂ your community's ability to provide information and resources? Please use the scale below to indicate your level of satisfaction.",Owns a car?,Seeking Value,There are opportunities for my family/caregiver  to connect with fellow military/veteran families/caregivers:To what extent do you disagree or agree with the following statements:,There is a strong network of support for active military/veterans in my community:To what extent do you disagree or agree with the following statements:,Veteran serving organizations care deeply about my well being?,"You mentioned earlier you were seeking access to better employment or obtaining employment, how long have you been activelyÂ seekingÂ employment?",Hope Scale Score
1.8,2.0,3.0,3.0,2.0,49.92003838743951,True,1.0,-0.5784495128541156,0.3346038389211637,-0.25399788950604885,1.0381275741308376,-0.08433974147370789,0.21961778002231688,-0.9889346852187259,0.8348659048814299,True,True,2.2,2.4,False,1.8,2.4,2.2,2.6,1.0,2.2,0.0,3.0,2.0,3.0,20.0,3.0,2.8,False,13.0,2.0,2.0,True,1.0,52.0
5.0,2.8,3.0,4.0,2.0,66.03570634835503,True,1.0,1.2301888216852288,1.5133645369992916,-0.5502861936605572,1.033639319924271,0.4707366071982675,0.4375291338806559,0.19945827936127877,0.7518453980538913,True,True,2.0,2.0,True,2.0,3.0,2.0,2.2,1.0,2.8,1.0,2.0,2.0,2.0,3.0,2.0,4.0,True,3.4,2.0,2.6,True,0.4,38.0
2.0,2.0,4.0,4.0,2.0,58.6323354587456,True,1.0,0.46868671408206675,0.219667235957045,0.21361575697972437,1.048297789869338,-0.16315050907075448,-0.08091836053659975,1.2811459870207766,0.5424838857601982,True,True,1.0,2.0,True,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,True,10.0,2.0,2.0,True,1.0,53.0
3.4,2.4,3.0,2.8,2.0,70.0,True,1.0,1.5319145146427202,2.346762080173041,-0.03323883501488674,1.0423362625214543,-0.010697949064488786,-0.03196558926752098,-0.4304635059517448,0.8040605997562579,True,True,2.0,2.0,True,1.8,1.8,2.0,2.4,1.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,2.4,True,1.8,1.8,1.8,False,0.8,61.0
4.0,2.0,2.0,2.4,2.0,56.973500409945395,True,1.0,0.9376062475525597,0.8791054754495919,-0.9417642481907166,1.0291114402453267,0.5223754591154369,0.6294299471593766,-0.18703634972754984,0.786718129223955,True,True,2.0,2.2,True,2.2,2.4,2.4,2.4,1.0,1.8,2.0,2.0,3.0,3.0,1.0,2.0,4.0,True,1.6,2.0,3.0,True,0.6,44.0
5.0,2.0,4.0,4.0,1.0,70.0,True,1.0,1.400821620217331,1.962301211668308,0.026784640426436194,1.043646218909683,-0.022887074696587992,-0.037469716953570285,0.7346710079401102,0.6792127043499281,True,True,2.0,2.0,True,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,3.6,2.0,3.0,True,6.0,2.0,2.0,False,1.0,54.0
1.0,3.0,3.0,2.0,2.0,54.815500651513375,True,1.0,-1.1466744971085059,1.314862402319045,-0.41034391436110956,1.0356197696103255,0.2287831346029056,-0.423582152997233,1.2837011472205122,0.5415702701161388,True,True,2.0,1.0,True,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,243.6,3.0,3.0,True,21.0,2.0,2.6,True,1.0,35.0
3.0,3.0,4.0,1.0,3.0,34.211568525674615,True,1.0,-0.9163735576103066,0.8397404970873699,-0.5194995568057,1.034055880462661,-0.08766407370471979,0.052415266556912254,-2.0089793735510884,0.8717065125064587,True,True,3.0,3.0,False,2.0,2.0,3.0,2.0,2.0,2.4,0.0,2.0,3.0,2.0,66.0,2.0,2.0,False,13.4,3.0,2.0,True,1.4,29.0
1.0,1.0,3.0,2.6,2.0,29.727638060878952,False,1.0,-0.7559448905856778,0.5714526776025924,1.139544815962425,1.1023647516890103,-0.16623791603756244,-0.2136219192691589,-1.1528200046141381,0.8421485893503502,True,True,1.0,1.0,False,2.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,42.0,2.0,3.0,False,17.0,1.0,1.0,False,1.0,27.0
1.0,3.0,4.0,3.0,2.0,59.77979844666667,True,1.0,1.0262887187984244,1.0532685343329116,-0.7374362952816291,1.0313111591034627,-0.9770087944742148,-0.35928062895530644,-0.7272815843119531,0.8217349905677317,True,True,3.0,2.0,True,2.4,2.4,3.0,2.0,4.0,2.2,1.0,2.0,2.0,2.0,140.6,1.0,2.0,True,2.6,2.2,3.0,True,0.6,31.0
5.0,1.8,5.0,4.0,1.8,54.72465834770001,False,1.0,1.4915853382957622,2.2248268214188833,0.900986781538727,1.0794500086755627,0.32178111056422914,1.513348677157509,0.2103021316223385,0.7507017526879946,True,True,1.0,1.0,True,2.0,2.2,1.0,2.0,2.0,3.0,1.4,4.0,2.0,4.0,1.0,1.8,1.0,True,5.4,1.8,1.8,False,0.4,52.0
5.0,3.0,4.2,1.6,3.0,50.066984235119186,True,1.0,0.5905240578623002,0.3487186629141573,-1.2355000567907775,1.0264410438173102,-0.1789059486598543,-0.3394770156714474,-0.17301470790780107,0.7856251981593684,True,True,3.0,3.0,True,3.0,3.0,3.0,3.0,4.6,2.6,2.0,3.0,1.0,3.0,2.0,3.0,3.0,True,6.0,3.0,3.0,True,1.0,53.0
1.0,2.0,4.0,1.0,0.0,25.922083581647588,False,1.0,-0.07357043072134292,0.0054126082765239185,1.913574057954223,2.5945372660349992,1.3090335562975035,-2.3161852366041233,-0.09841714221188116,0.7796170219285674,False,True,1.0,2.0,False,1.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,5.2,1.0,2.0,False,13.0,1.0,0.0,True,1.0,22.0
5.0,0.0,2.8,2.6,0.0,70.0,False,1.0,1.1028996947423342,1.2163877366627338,3.398398237970432,0.9408623762327343,0.4836886261270203,0.8894905151577867,0.7110280634119359,0.6833074115032082,False,False,0.0,0.0,True,0.0,0.0,0.0,0.0,3.2,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,True,6.6,0.0,0.0,False,1.6,35.0
5.0,3.0,5.0,2.0,3.0,62.78954524346066,True,1.0,1.7311789647423388,2.9969806079663557,-1.2512933771039707,1.0263112749572743,0.1566192559411394,1.2070872739492606,0.30150502757207304,0.7406490720943953,True,True,2.2,2.2,True,2.6,3.0,2.2,3.0,1.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,True,4.2,3.0,3.0,True,0.2,64.0
3.0,2.0,4.0,3.0,3.0,54.33639658928519,True,1.0,0.25228726907277654,0.06364886613619955,-0.10130709016067502,1.040942750543925,0.08163867967481987,-0.02874091951879901,0.5838085395066508,0.7036612504408583,True,False,2.0,3.0,True,2.2,3.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,True,12.0,3.0,1.0,True,1.0,48.0
4.0,2.0,4.0,1.8,1.0,36.4770725154895,True,1.0,-0.6639983119532769,0.44089375827680116,0.05701453572223061,1.0443371384679698,0.07423782940706643,-0.02680331709667389,-0.08026711048600842,0.7781039091074466,True,True,2.0,2.0,True,2.0,2.0,2.0,2.0,2.0,2.6,0.0,3.0,2.0,2.0,21.6,2.0,3.0,False,14.0,2.0,2.0,True,0.0,44.0
1.8,1.0,5.0,3.0,2.4,62.53537744645337,False,1.0,1.1590739514163684,1.343452424851954,0.17976370234235298,1.0473828138830865,0.18160275303885906,-0.13852002610783762,0.8750575345753501,0.6525369013452047,False,True,2.4,2.4,True,2.4,2.2,2.4,2.4,1.0,2.0,1.6,3.0,3.0,3.0,3.4,0.0,3.0,True,8.8,0.0,0.0,True,0.8,52.0
3.0,3.0,3.0,2.0,0.0,18.51109074221706,False,1.0,-0.5040499404851215,0.25406634250305454,-0.024383705559969694,1.0425245509903007,-0.06323675101192973,0.003423548352858042,-1.2613753346221575,0.846628912509049,True,True,2.6,2.0,True,2.4,2.0,3.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,70.0,2.0,1.0,False,12.0,2.2,3.0,True,1.0,43.0
2.0,2.0,2.0,2.8,2.0,52.42794691460938,True,1.0,-1.405495806893688,1.9754184631957392,0.3591791463095546,1.05267129862213,-0.2836174149618148,0.07130831696520731,0.3072437461276455,0.7399893514253876,True,True,2.0,2.0,False,2.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,220.8,2.0,3.0,False,24.0,2.0,2.0,True,1.0,56.0
5.0,3.0,2.0,2.8,2.0,44.58454517584805,True,1.0,0.5246185304758487,0.275224602518639,-0.48066824724432355,1.0345962359388121,0.402798915939408,-0.060265260686976636,0.3948969801576502,0.7294787721370419,True,True,3.0,2.0,True,3.0,2.0,2.0,3.0,2.0,1.8,1.0,3.0,2.0,3.0,15.2,2.0,3.0,True,12.0,3.0,2.0,True,2.0,36.0
1.0,3.0,4.0,3.0,2.0,40.340695337856936,True,1.0,0.15054452469110344,0.022663653914470252,-0.9292434263565352,1.0292373068306622,-0.5634740266225633,-0.11132636520873081,0.2790495643491187,0.7431986794360531,True,True,1.0,3.0,True,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,100.8,3.0,4.0,True,10.8,2.0,3.0,True,0.8,45.0
1.0,2.0,3.0,1.0,2.0,24.908249352777776,True,1.0,-0.8277839788508814,0.6852263156421965,0.19072313652743994,1.0476752144385404,0.17776158607344963,-0.008545812284057382,-0.9074628044231922,0.8309895431930736,True,True,2.0,2.0,False,2.0,2.0,3.0,2.0,4.0,1.6,1.0,3.0,2.0,2.0,2.0,2.0,2.0,False,16.0,2.0,2.0,True,0.0,40.0
5.0,3.0,3.8,3.0,2.0,68.71777220416305,True,1.0,1.3027682843865063,1.6972052028033608,-0.18031697235423838,1.0394360451543516,0.07849945405714376,-0.0368975120000731,0.13920069125381854,0.7580140525770146,True,True,2.0,2.0,True,3.0,1.0,1.0,1.0,1.4,3.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,True,4.0,1.0,2.0,True,1.0,52.0
4.0,1.0,4.0,2.6,0.0,26.24778817223814,False,1.0,0.1284619140397255,0.016502463358749827,2.1747465507377464,0.5930816217447775,-1.3399441080390548,-3.140688243209326,-0.4929669904019187,0.8080677911750772,False,False,1.0,0.0,False,1.0,1.0,0.0,2.0,4.0,2.0,1.0,1.0,1.0,0.0,4.6,2.0,2.0,False,10.8,2.0,0.0,False,1.8,18.0
5.0,2.0,3.8,2.6,2.0,36.42188493360798,True,1.0,0.11354342451321076,0.01289210925018719,0.5138838259980135,1.0582801608978047,-0.32049820265056367,-0.6490700100936222,-1.3266312467266936,0.8492018288176438,True,False,2.0,2.0,False,2.0,3.0,2.0,3.0,3.8,1.4,1.0,3.0,2.0,2.0,14.6,2.0,3.0,False,12.4,2.0,3.0,True,1.4,38.0
2.0,2.0,2.0,3.0,2.0,59.77979844666667,True,1.0,0.13555650209992234,0.01837556526156625,-0.46925733181205564,1.0347582991390323,0.42162678799096576,0.08290023924075011,-2.0128180283410853,0.8718141317764876,True,True,2.4,3.0,False,3.0,2.0,2.0,2.0,0.0,2.2,1.0,2.0,3.0,2.0,141.2,3.0,3.0,False,7.0,3.0,2.0,True,1.0,36.0
5.0,2.0,4.0,1.0,2.6,21.508011650692175,True,1.0,-0.8618520825998695,0.7427890122817322,-0.07497734264484444,1.041470760690724,-0.018671276757914763,-0.005337220132724573,-0.5375994931253374,0.8108303829221714,True,True,2.0,3.0,False,2.6,2.0,2.0,2.0,3.0,1.2,1.0,2.0,2.6,1.0,101.4,2.0,3.0,False,19.0,3.0,2.8,True,0.0,48.0
5.0,2.0,5.0,2.0,2.0,49.359688896613314,False,1.0,1.1969842217237783,1.4327712270556792,0.2449485435127622,1.0491767365686873,0.18268426670990412,-0.6802556639127074,1.2606161483247809,0.5496943879890629,True,True,2.0,2.0,True,1.0,2.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,True,8.0,2.0,2.0,True,1.0,40.0
2.0,2.0,4.0,2.0,2.0,15.0,True,1.0,-1.0301313701143018,1.0611706396935685,-0.4793226305964193,1.0346152683784866,-0.4512219593883607,-0.29400055469210445,-1.166077791752076,0.8427097504202894,True,True,3.0,2.0,False,2.0,2.4,2.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,122.2,2.4,2.0,False,17.0,3.0,2.4,True,1.0,36.0
0.0,2.2,3.6,4.0,2.2,70.0,False,1.0,1.4514654450234938,2.106751938097249,1.0564996713170038,1.0930248907749087,0.6236304596419895,2.899026225195695,-0.5006951831851871,0.8085519001039065,True,True,2.4,0.0,True,1.8,1.0,1.0,2.2,2.0,3.0,1.0,2.0,2.0,3.0,20.2,2.0,2.0,True,6.4,2.2,2.2,True,1.4,38.0
5.0,3.0,5.0,1.0,3.0,70.0,True,1.0,-0.1099888906871086,0.012097556074580724,-0.9139297537763706,1.0293927362761872,-0.7466884693203292,-0.22002980695177105,1.1091848572371865,0.5965903540562809,True,True,3.0,3.0,True,1.8,2.0,1.0,3.0,1.0,3.0,1.0,4.0,3.0,4.0,1.4,2.0,3.0,True,13.0,1.0,2.0,True,0.0,62.0
1.4,2.0,4.0,2.4,2.0,64.2144834947,False,1.0,0.8537507531997944,0.7288903485892163,0.47307040030730624,1.0566876272133827,0.1989279864561686,0.39783456440530784,-0.08481378896466668,0.778484899002551,False,True,2.2,1.8,True,2.2,2.2,2.0,2.2,4.0,1.0,1.2,2.0,2.0,3.0,110.8,1.0,3.0,True,7.2,1.0,1.0,True,1.2,50.0
5.0,3.0,5.0,2.4,2.0,70.0,True,1.0,0.5584302300058596,0.3118443217843972,-0.1338184596970348,1.0403090394846217,0.1519475292791767,-0.11397537739731767,0.40334392789097906,0.7284208252988731,True,True,1.0,2.0,True,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,100.8,2.0,3.0,True,10.0,2.0,2.0,True,0.0,50.0
2.0,2.0,3.0,2.0,2.0,56.40848058261948,True,1.0,-0.7638627030829143,0.5834862291611365,-0.3808523697722962,1.0360672543866365,-0.18771031732806207,-0.40499447948253897,1.1041756587960911,0.5979753020749528,True,True,3.0,2.0,True,3.0,3.0,3.0,2.0,6.0,2.0,2.0,2.0,2.0,3.0,1.4,2.0,1.0,True,20.0,2.0,3.0,True,2.0,35.0
5.0,0.0,2.0,2.6,0.0,62.439157156164555,False,1.0,0.9225040668872307,0.8510137534234803,3.758241412773989,0.9527403901273326,2.4163898230406633,0.8537295561416803,-1.0420054783043482,0.8372967361688435,False,False,0.0,0.0,False,0.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,False,7.4,0.0,0.0,False,1.4,33.0
5.0,2.0,5.0,4.0,2.0,45.858129408579885,True,1.0,1.0172777738107033,1.0348540690892605,-0.7364804211738751,1.0313222311802854,-0.2061819708847052,0.15726432397471193,0.3665859570507951,0.732965281753606,True,True,2.2,2.4,True,3.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,1.0,2.0,3.0,True,4.6,2.8,2.0,True,0.6,52.0
5.0,2.0,5.0,4.0,2.0,55.263821929423905,False,1.0,1.7988414914582898,3.2358307113918845,1.036205027046804,1.0909959049293791,1.6575667771586013,-0.061611515486182274,0.5075567294820895,0.714653275666921,False,True,1.0,1.0,True,2.6,1.0,1.0,1.0,1.0,4.0,1.0,4.0,2.0,3.0,1.2,1.0,2.0,True,5.2,2.6,1.0,True,0.2,61.0
0.0,1.0,3.0,3.0,1.0,28.428042887877837,False,1.0,-1.214887897201651,1.4759526027670493,1.1055221004139342,1.0983204832616984,1.468011031008932,-0.14958670730617757,-0.7449850758611033,0.8226889437809116,False,True,2.0,1.0,False,2.0,2.0,2.0,3.0,3.0,1.8,0.0,3.0,1.0,2.0,209.4,2.0,2.0,False,18.0,1.0,1.0,False,1.0,36.0
1.0,3.0,2.8,3.0,3.0,50.517239807126614,True,1.0,-1.1112189980398757,1.2348076616047452,-1.4346599286222697,1.0248928289088963,1.0931149416008947,-2.508115881324218,1.2506402211480765,0.5531167107716936,True,True,3.0,3.0,True,3.0,3.0,3.0,3.0,1.6,2.2,2.0,4.0,3.0,4.0,121.2,3.0,3.0,True,22.0,3.0,3.0,True,0.0,64.0
0.0,3.0,4.0,2.0,3.0,56.45011285741373,True,1.0,0.1698171520643468,0.028837865135245486,0.12721446297840058,1.0460291925329894,0.1456873946992951,0.01729571801112688,0.4667191263778792,0.7202114140145244,True,True,2.0,2.0,True,2.0,2.0,2.0,3.0,4.0,1.6,1.0,3.0,2.0,2.0,120.2,2.0,2.0,True,11.0,2.0,1.0,True,2.0,40.0
3.0,0.0,5.0,2.4,0.0,15.0,False,1.0,-1.295884982637601,1.6793178882256556,3.9364393154513055,0.9570158033127176,0.09438117980412233,-2.2792961571488055,0.7881215709469369,0.6695536037754446,False,False,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,2.2,2.0,0.0,0.0,0.0,8.8,0.0,0.0,False,25.0,0.0,0.0,False,2.0,8.0
5.0,2.0,5.0,2.0,2.0,62.271922987983935,True,1.0,1.2641243354864073,1.598010335568951,-0.7651897557597945,1.0309930637298799,0.4387375128526155,0.6817369616441312,0.24807024093920985,0.7466349090936764,True,True,2.4,2.0,True,2.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,2.0,4.0,3.0,2.0,3.0,True,2.2,3.0,2.0,True,0.2,49.0
3.0,3.0,4.0,2.0,3.0,22.011902116118346,True,1.0,-1.0622659424959016,1.128408932586706,-0.148232130985394,1.0400343221277424,-0.015361216407097861,-0.03300884053447303,-1.3480914789996463,0.8500292057495753,True,True,2.0,2.0,False,3.0,2.0,3.0,2.0,2.0,1.0,0.0,1.0,3.0,2.0,12.0,2.0,1.0,False,16.8,2.0,3.0,True,0.8,26.0
5.0,2.0,3.0,2.0,2.0,70.0,True,1.0,2.0596010702209555,4.241956568455305,-0.0017781647661450361,1.0430128995539492,0.0020680850502585186,0.0008983274193955882,-0.18567018936011803,0.7866121327129106,True,True,2.0,2.0,True,3.0,2.0,2.0,2.0,1.0,4.0,1.0,3.0,2.0,3.0,5.6,2.0,3.0,True,1.2,2.0,2.0,True,1.2,42.0
2.0,3.0,3.0,3.0,2.0,49.26312232386063,True,1.0,-0.901814469652071,0.8132693376738461,0.4202764142967724,1.0547523118232311,0.15281299164150788,0.001082983075132007,0.3133932903243922,0.7392786669090097,True,True,2.0,3.0,True,0.0,2.0,2.0,1.0,3.0,2.6,1.0,2.0,0.0,1.0,4.4,2.0,3.0,False,18.0,2.0,2.0,True,1.0,33.0
1.0,3.0,4.0,2.8,2.0,59.77979844666667,True,1.0,-0.18477414513972293,0.034141484712115394,-0.4036519916113523,1.0357203316479233,-0.683018835562357,-0.4931046271556458,0.6450087285654539,0.694206823237222,True,True,2.0,2.0,True,2.0,2.0,2.6,2.0,4.0,2.2,1.0,2.0,2.0,2.0,140.6,2.0,2.0,True,15.0,2.0,3.0,True,1.0,33.0
3.6,2.0,3.4,3.0,2.4,70.0,True,1.0,1.4468052141676737,2.093245327742768,-0.18164054604340907,1.039411748652917,-0.019229837743544163,-0.4845210494809229,-0.8713454645860426,0.8292122781433083,True,True,2.4,2.6,True,2.4,2.2,2.2,2.6,2.2,4.0,1.0,4.0,2.0,4.0,5.6,2.6,3.0,True,5.2,2.4,2.4,True,1.2,40.0
5.0,2.0,4.0,4.0,2.0,53.77567583300001,True,1.0,0.7701660641902889,0.5931557664303602,0.6421767516449253,1.0639252734118154,0.1766469733794096,-0.1727453455791307,0.9393360076805849,0.6387835682246831,True,True,1.0,1.0,True,2.0,1.0,1.0,2.0,3.0,2.4,2.0,2.0,1.0,2.0,3.0,1.0,2.0,True,7.0,1.0,1.0,True,0.0,43.0
4.0,2.0,2.0,3.0,2.0,55.93690652475385,True,1.0,-0.7493474374143286,0.5615215819594211,0.32579084910486045,1.0515995552361528,0.35407680717691503,-0.3074396001644136,-0.5668316686261508,0.8125970518257217,True,True,1.0,1.0,False,2.0,2.0,1.0,2.0,1.0,2.0,0.0,3.0,2.0,3.0,25.4,2.0,3.0,False,14.0,2.0,2.0,True,1.0,44.0
2.0,2.0,3.0,2.6,0.0,20.126623462654504,False,1.0,-0.6581815259332958,0.43320292107988173,2.6306350981111133,0.872479388569782,-1.1181920123006068,0.45409642655172683,-0.21987704195691715,0.7892348284432914,False,False,1.0,1.0,False,0.0,1.0,2.0,1.0,3.0,2.2,1.0,3.0,1.0,3.0,6.0,0.0,3.0,False,20.0,2.0,1.0,False,2.0,15.0
3.0,2.0,2.6,4.0,2.0,70.0,True,1.0,1.263514597196788,1.5964691373293616,0.19958697908434725,1.04791435701837,-0.03370643971527928,0.15044795403026948,0.09806941622725433,0.7620515423635851,True,True,1.8,1.8,True,2.0,1.8,2.2,2.0,1.0,3.0,1.0,4.0,2.0,3.0,102.8,2.0,2.0,True,4.6,1.6,2.0,False,0.6,57.0
1.0,2.0,2.0,3.0,3.0,62.717870916111096,True,1.0,-0.2291372684173667,0.05250388777777235,-0.7504470397121774,1.031161227768158,0.1571852131194586,-0.6938197779585757,0.5336603443861243,0.7109833040889794,True,True,2.0,3.0,True,3.0,3.0,3.0,2.0,2.0,2.4,2.0,3.0,3.0,3.0,102.4,2.0,3.0,True,15.0,2.0,3.0,True,0.0,52.0
2.0,2.0,2.0,2.0,0.0,54.87073405366257,True,1.0,-1.5543836745251183,2.4161086076302087,2.280471797186031,0.7301809186262418,-0.4793890592639208,-1.1327960576817608,1.0770466280621656,0.6053137668500066,True,True,0.0,0.0,False,0.0,0.0,0.0,0.0,3.0,1.0,2.0,4.0,2.0,4.0,1.4,2.0,3.0,False,24.0,1.8,2.2,False,1.0,48.0
5.0,2.0,5.0,0.0,1.0,63.265500980000006,True,1.0,0.3818171920599619,0.14578436815255383,1.6323097377020008,1.2532237455760973,-0.11481812271158323,-0.1654962183990228,1.6251465602425266,0.3747158576997632,True,True,1.0,0.0,True,0.0,0.0,1.0,0.0,5.0,2.6,1.0,2.0,2.0,2.0,1.0,2.0,1.0,True,12.0,2.0,2.0,False,2.0,48.0
0.0,2.0,4.0,2.0,3.0,29.99718009489584,True,1.0,0.46144026476700906,0.21292711794824742,-1.3544536897674617,1.0254939983777234,-1.2971016241791282,0.12205577037664199,-0.09499391334998447,0.7793332188079495,True,True,3.0,3.0,True,3.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,148.0,3.0,3.0,True,7.0,2.0,2.0,True,1.0,58.0
5.0,2.0,5.0,4.0,2.0,70.0,True,1.0,1.725634391234644,2.97781405221176,0.20321798739211877,1.048013014138714,-0.0568410674210454,0.36570875230394384,-0.3505360272495593,0.7986858479059001,True,True,1.6,2.0,True,2.0,2.0,2.0,2.0,0.0,3.0,1.2,4.0,3.0,3.0,4.0,2.0,2.0,True,3.8,3.0,2.0,True,0.8,60.0
5.0,3.0,3.0,1.0,3.0,70.0,True,1.0,-0.0411746241651453,0.0016953496751409673,-1.4357228260463384,1.0248850524706687,-1.7376656019365029,-0.7836772366409387,0.2611423943453692,0.7451962231597731,True,True,3.0,3.0,True,2.0,3.0,3.0,3.0,2.0,2.8,2.0,3.0,3.0,3.0,3.6,3.0,0.0,True,10.0,3.0,3.0,True,0.0,57.0
1.6,1.8,5.0,2.4,2.0,51.793431967364675,False,1.0,0.2173136514592575,0.047225223110555645,0.7869920820357704,1.0717726130313026,1.232288466491825,-0.17456503152815478,1.1460394462208934,0.5860997681604025,False,False,1.6,2.0,True,1.8,1.6,1.4,2.4,3.0,3.0,1.4,3.0,1.6,3.0,4.0,1.8,2.2,True,13.0,2.2,1.0,True,1.0,50.0
2.0,1.0,5.0,3.2,1.0,50.94975517198685,False,1.0,-0.49635078510135305,0.24636410187072957,1.3612591627639143,1.1398526968974119,-2.0389687328763277,0.6555414455251382,1.694782141241794,0.3245799614074431,False,False,2.0,1.0,True,1.0,1.0,2.0,1.0,2.0,2.2,1.0,3.0,1.0,3.0,40.8,2.0,2.0,True,18.4,1.0,1.0,True,0.4,18.0
5.0,2.0,5.0,4.0,2.0,53.780297125986124,True,1.0,1.7211456940149468,2.962342500026193,-0.1712432292959029,1.0396034195709418,-0.005657212156154695,-0.2708241286631508,-0.4330396273270835,0.8042290619846209,True,True,2.0,1.8,True,2.0,3.0,2.0,3.0,0.0,3.0,1.2,4.0,2.0,4.0,1.0,2.0,3.0,True,2.6,2.0,2.0,True,0.6,54.0
2.0,2.0,2.0,2.2,2.0,53.519879699610165,False,1.0,-0.9354445764113464,0.8750565555374032,0.3910720715131479,1.0537374578117942,0.4128916627436852,-0.11750874517074086,-0.6793166182160122,0.8190980538275555,True,True,2.0,2.0,False,2.0,3.0,1.6,1.0,0.0,2.4,2.0,3.0,3.0,1.0,47.8,1.0,3.0,False,16.0,1.0,2.0,True,1.0,28.0
5.0,2.0,4.0,3.0,1.0,60.10222593100001,True,1.0,0.5322358613067073,0.28327501206089256,-0.46599580308818456,1.0348049002934356,-0.0221448167435309,0.21150229272612142,0.5658133165996455,0.7063309968282809,True,True,1.8,2.2,True,2.4,2.0,2.0,2.0,0.0,3.0,1.0,4.0,2.0,4.0,1.0,2.0,3.0,True,7.0,2.0,2.0,True,1.0,57.0
3.0,0.0,2.0,1.0,1.0,55.09292706867335,False,1.0,-0.1973418006706262,0.038943786291925166,2.360463143510761,0.784989834949732,-1.801203934534873,-1.9136485668063277,-0.7335868516942873,0.8220759247575509,False,False,1.0,2.0,False,2.0,1.0,0.0,1.0,4.0,1.6,1.0,2.0,1.0,3.0,45.4,1.0,0.0,False,13.0,0.0,2.0,False,1.0,13.0
2.0,3.0,4.0,2.0,2.0,51.21463316411062,True,1.0,-1.1612906958834937,1.348596080345569,0.0484734124111734,1.0441397195448625,0.016655183421316392,0.04243899165901757,1.6819783600449547,0.3343928392964203,True,True,1.0,2.0,True,2.0,2.0,2.0,3.0,6.0,3.0,1.0,3.0,2.0,2.0,161.0,2.0,3.0,True,22.0,3.0,2.0,True,1.0,55.0
