Report for Annual Survey 2019 - Aggregate|Unnamed: 1|Unnamed: 2|Unnamed: 3|Unnamed: 4|Unnamed: 5|Unnamed: 6|Unnamed: 7|Unnamed: 8|Unnamed: 9|Unnamed: 10|Unnamed: 11|Unnamed: 12|Unnamed: 13|Unnamed: 14|Unnamed: 15|Unnamed: 16
Less than 600 |0.165|144||||||||||||||
600 - 659 |0.142|124||||||||||||||
660 - 699 |0.103|90||||||||||||||
700 - 740 |0.181|158||||||||||||||
741 and higher |0.344|301||||||||||||||
Prefer not to answer |0.065|57||||||||||||||
 |Totals |874||||||||||||||
||||||||||||||||
||||||||||||||||
71.Do you currently have any untreated medical conditions? Note: Medical conditions may include any short or long-term physical or mental issues (e.g., neck pain, traumatic brain injury (TBI), post-traumatic stress disorder (PTSD), sleep problems, diabetes, heart conditions etc.)||||||||||||||||
Value |Percent |Count ||||||||||||||
Yes |0.333|320||||||||||||||
No |0.667|642||||||||||||||
 |Totals |962||||||||||||||
||||||||||||||||
||||||||||||||||
72.Please check all that apply to indicate which type of medical conditions you are not currently receiving treatment for:||||||||||||||||
Value |Percent |Count ||||||||||||||
Chronic diseases or conditions including heart and circulatory conditions, cancers, respiratory disease (e.g., asthma), diabetes, allergies, arthritis, anemia, bronchitis, emphysema, epilepsy, HIV/AIDS, kidney disease, osteoporosis and thyroid conditions |0.226|72||||||||||||||
Disabilities including sight or hearing problems, speech problems, limited use of legs or feet, and limited use of arms or fingers |0.261|83||||||||||||||
Bodily pain including burns, ankle/feet injuries, back, neck or shoulder problems, fractured bones, hand injuries, hip injuries, knee injuries or problems and nerve injuries |0.56|178||||||||||||||
Mental health conditions include anxiety, depression, post-traumatic stress disorder (PTSD), traumatic brain injury (TBI), migraines / severe headaches, military sexual trauma, and sleep problems |0.557|177||||||||||||||
Other: |0.116|37||||||||||||||
Prefer not to disclose |0.113|36||||||||||||||
||||||||||||||||
||||||||||||||||
73.You have indicated that you have a form of healthcare coverage as well as you have untreated medical conditions. What prevents you from receiving treatment for your medical conditions?  ||||||||||||||||
Value |Percent |Count ||||||||||||||
Unable to access healthcare provider (location or distance to provider is over 100 miles) |0.04|9||||||||||||||
Work/personal schedule doesn't allow for time off |0.232|52||||||||||||||
Unable to find healthcare provider that I like |0.098|22||||||||||||||
Fear of doctors |0.112|25||||||||||||||
Other - Write In |0.518|116||||||||||||||
 |Totals |224||||||||||||||
||||||||||||||||
||||||||||||||||
74.Do you currently have any medical conditions that are being or have been treated? ||||||||||||||||
Value |Percent |Count ||||||||||||||
Yes |0.751|719||||||||||||||
No |0.249|238||||||||||||||
 |Totals |957||||||||||||||
||||||||||||||||
||||||||||||||||
75.Please check all that apply to indicate which type of medical conditions you are currently receiving treatment for:||||||||||||||||
Value |Percent |Count ||||||||||||||
Chronic diseases or conditions including heart and circulatory conditions, cancers, respiratory disease (e.g., asthma), diabetes, allergies, arthritis, anemia, bronchitis, emphysema, epilepsy, HIV/AIDS, kidney disease, osteoporosis and thyroid conditions |0.483|340||||||||||||||
Disabilities including sight or hearing problems, speech problems, limited use of legs or feet, and limited use of arms or fingers |0.266|187||||||||||||||
Bodily pain including burns, ankle/feet injuries, back, neck or shoulder problems, fractured bones, hand injuries, hip injuries, knee injuries or problems and nerve injuries |0.511|360||||||||||||||
Mental health conditions include anxiety, depression, post-traumatic stress disorder (PTSD), traumatic brain injury (TBI), migraines / severe headaches, military sexual trauma, and sleep problems |0.517|364||||||||||||||
Other: |0.102|72||||||||||||||
Prefer not to disclose |0.068|48||||||||||||||
||||||||||||||||
||||||||||||||||
76.Has <Community> or their Partners provided assistance in submitting or updating a healthcare/benefits claim?||||||||||||||||
Value |Percent |Count ||||||||||||||
Yes |0.122|54||||||||||||||
No |0.878|388||||||||||||||
 |Totals |442||||||||||||||
||||||||||||||||
||||||||||||||||
77.Which organization helped you file a healthcare/benefits claim? ||||||||||||||||
||||||||||||||||
||||||||||||||||
78.Was the healthcare/benefits claim resolved?||||||||||||||||
Value |Percent |Count ||||||||||||||
Yes |0.593|32||||||||||||||
No |0.407|22||||||||||||||
 |Totals |54||||||||||||||
||||||||||||||||
||||||||||||||||
79.Please indicate how long it took to resolve your healthcare/benefits claim:||||||||||||||||
Value |Percent |Count ||||||||||||||
Less than a month |0.031|1||||||||||||||
1 - 3 months |0.281|9||||||||||||||
4 - 6 months |0.375|12||||||||||||||
7 - 12 months |0.188|6||||||||||||||
Over 12 months |0.125|4||||||||||||||
 |Totals |32||||||||||||||
||||||||||||||||
||||||||||||||||
80.Please indicate how long you have been waiting for a resolution of your un-resolved claims.||||||||||||||||
Value |Percent |Count ||||||||||||||
Less than a month |0.155|32||||||||||||||
1 - 3 months |0.193|40||||||||||||||
4 - 6 months |0.092|19||||||||||||||
7 - 12 months |0.097|20||||||||||||||
Over 12 months |0.464|96||||||||||||||
 |Totals |207||||||||||||||
||||||||||||||||
||||||||||||||||
81.On average, how many hours of sleep do you get each night?||||||||||||||||
Value |Percent |Count ||||||||||||||
less than 5 hours |0.194|213||||||||||||||
5-6 hours |0.437|480||||||||||||||
7-8 hours |0.349|384||||||||||||||
9 or more hours |0.02|22||||||||||||||
 |Totals |1,099 ||||||||||||||
||||||||||||||||
||||||||||||||||
82.Do you have any injuries or disabilities that prevent you from engaging in moderate physical activity? Moderate exercise includes: brisk walks, jogs, cycling, team sports etc. ||||||||||||||||
Value |Percent |Count ||||||||||||||
Yes |0.375|411||||||||||||||
No |0.625|684||||||||||||||
 |Totals |1,095 ||||||||||||||
||||||||||||||||
||||||||||||||||
83.Do you regularly exercise (engage in physical activity)?||||||||||||||||
Value |Percent |Count ||||||||||||||
Yes |0.621|425||||||||||||||
No |0.379|259||||||||||||||
 |Totals |684||||||||||||||
||||||||||||||||
||||||||||||||||
84.On a weekly basis how much moderate exercise / physical activity do you typically complete? Moderate exercise includes: brisk walks, jogs, cycling, team sports etc. The table below provides a quick reference of total exercise time based on a 30 minute workout.||||||||||||||||
Value |Percent |Count ||||||||||||||
Under 1 hour |0.266|182||||||||||||||
1 - 1.5 hours |0.177|121||||||||||||||
1.5 - 2 hours |0.182|124||||||||||||||
2 - 2.5 hours |0.141|96||||||||||||||
Over 2.5 hours |0.234|160||||||||||||||
 |Totals |683||||||||||||||
||||||||||||||||
||||||||||||||||
85.Have you participated in a recreational therapy program? ||||||||||||||||
Value |Percent |Count ||||||||||||||
Yes |0.128|12||||||||||||||
No |0.872|82||||||||||||||
 |Totals |94||||||||||||||
||||||||||||||||
||||||||||||||||
86.Have you participated in adaptive sports programs? ||||||||||||||||
Value |Percent |Count ||||||||||||||
Yes |0.096|9||||||||||||||
No |0.904|85||||||||||||||
 |Totals |94||||||||||||||
||||||||||||||||
||||||||||||||||
87.About how tall are you without shoes? Please estimate to the best of your ability.||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
88.What is your current weight? (in pounds) ||||||||||||||||
||||||||||||||||
||||||||||||||||
89.Please select the organization(s) that you have worked with or reached out to most frequently.  You may select up to but not more than five (5) partners of <Community>. We will ask you a few additional questions about your interaction and satisfaction with these partners.||||||||||||||||
Value |Percent |Count ||||||||||||||
Partner #1 |0.143|99||||||||||||||
Partner #2 |0.067|46||||||||||||||
Partner #3 |0.03|21||||||||||||||
Partner #4 |0.012|8||||||||||||||
Partner #5 |0.004|3||||||||||||||
The United Way |0.052|36||||||||||||||
Goodwill Industries |0.096|66||||||||||||||
Wounded Warrior Project |0.148|102||||||||||||||
Department of Veterans Affairs |0.489|338||||||||||||||
The American Red Cross |0.065|45||||||||||||||
None of the Above |0.372|257||||||||||||||
||||||||||||||||
||||||||||||||||
90.When <strong><Community></strong> referred you to [Page('Piped Title')], did they ask [Page('Piped Title')] staff to reach out to you - or did they encourage you to reach out to [Page('Piped Title')]?||||||||||||||||
||||||||||||||||
||||||||||||||||
91.When <Community> referred you to [Page('Piped Title')], did they ask [Page('Piped Title')] staff to reach out to you - or did they encourage you to reach out to [Page('Piped Title')]?||||||||||||||||
Value |Percent |Count ||||||||||||||
"Asked [Page(""Piped Title"")] to reach out to me for an initial or follow-up conversation "|0.146|14||||||||||||||
"Encouraged me to reach out to [Page(""Piped Titled"")] for an initial conversation "|0.177|17||||||||||||||
"Both encouraged me to reach out to [Page(""Piped Title"")] and asked [Page(""Piped Title"")] to reach out to me "|0.26|25||||||||||||||
Don't know/not sure |0.417|40||||||||||||||
 |Totals |96||||||||||||||
||||||||||||||||
||||||||||||||||
92.When <Community> referred you to [Page('Piped Title')], did they ask [Page('Piped Title')] staff to reach out to you - or did they encourage you to reach out to [Page('Piped Title')]?||||||||||||||||
Value |Percent |Count ||||||||||||||
"Asked [Page(""Piped Title"")] to reach out to me for an initial or follow-up conversation "|0.067|3||||||||||||||
"Encouraged me to reach out to [Page(""Piped Titled"")] for an initial conversation "|0.311|14||||||||||||||
"Both encouraged me to reach out to [Page(""Piped Title"")] and asked [Page(""Piped Title"")] to reach out to me "|0.267|12||||||||||||||
Don't know/not sure |0.356|16||||||||||||||
 |Totals |45||||||||||||||
||||||||||||||||
||||||||||||||||
93.When <Community> referred you to [Page('Piped Title')], did they ask [Page('Piped Title')] staff to reach out to you - or did they encourage you to reach out to [Page('Piped Title')]?||||||||||||||||
Value |Percent |Count ||||||||||||||
"Asked [Page(""Piped Title"")] to reach out to me for an initial or follow-up conversation "|0.143|3||||||||||||||
"Encouraged me to reach out to [Page(""Piped Titled"")] for an initial conversation "|0.143|3||||||||||||||
"Both encouraged me to reach out to [Page(""Piped Title"")] and asked [Page(""Piped Title"")] to reach out to me "|0.333|7||||||||||||||
Don't know/not sure |0.381|8||||||||||||||
 |Totals |21||||||||||||||
||||||||||||||||
||||||||||||||||
94.When <Community> referred you to [Page('Piped Title')], did they ask [Page('Piped Title')] staff to reach out to you - or did they encourage you to reach out to [Page('Piped Title')]?||||||||||||||||
Value |Percent |Count ||||||||||||||
"Asked [Page(""Piped Title"")] to reach out to me for an initial or follow-up conversation "|0.028|1||||||||||||||
"Encouraged me to reach out to [Page(""Piped Titled"")] for an initial conversation "|0.167|6||||||||||||||
"Both encouraged me to reach out to [Page(""Piped Title"")] and asked [Page(""Piped Title"")] to reach out to me "|0.306|11||||||||||||||
Don't know/not sure |0.5|18||||||||||||||
 |Totals |36||||||||||||||
||||||||||||||||
||||||||||||||||
95.When <Community> referred you to [Page('Piped Title')], did they ask [Page('Piped Title')] staff to reach out to you - or did they encourage you to reach out to [Page('Piped Title')]?||||||||||||||||
Value |Percent |Count ||||||||||||||
"Asked [Page(""Piped Title"")] to reach out to me for an initial or follow-up conversation "|0.106|7||||||||||||||
"Encouraged me to reach out to [Page(""Piped Titled"")] for an initial conversation "|0.106|7||||||||||||||
"Both encouraged me to reach out to [Page(""Piped Title"")] and asked [Page(""Piped Title"")] to reach out to me "|0.303|20||||||||||||||
Don't know/not sure |0.485|32||||||||||||||
 |Totals |66||||||||||||||
||||||||||||||||
||||||||||||||||
96.When <Community> referred you to [Page('Piped Title')], did they ask [Page('Piped Title')] staff to reach out to you - or did they encourage you to reach out to [Page('Piped Title')]?||||||||||||||||
Value |Percent |Count ||||||||||||||
"Asked [Page(""Piped Title"")] to reach out to me for an initial or follow-up conversation "|0.079|8||||||||||||||
"Encouraged me to reach out to [Page(""Piped Titled"")] for an initial conversation "|0.099|10||||||||||||||
"Both encouraged me to reach out to [Page(""Piped Title"")] and asked [Page(""Piped Title"")] to reach out to me "|0.178|18||||||||||||||
Don't know/not sure |0.644|65||||||||||||||
 |Totals |101||||||||||||||
||||||||||||||||
||||||||||||||||
97.When <Community> referred you to [Page('Piped Title')], did they ask [Page('Piped Title')] staff to reach out to you - or did they encourage you to reach out to [Page('Piped Title')]?||||||||||||||||
Value |Percent |Count ||||||||||||||
"Asked [Page(""Piped Title"")] to reach out to me for an initial or follow-up conversation "|0.036|12||||||||||||||
"Encouraged me to reach out to [Page(""Piped Titled"")] for an initial conversation "|0.151|51||||||||||||||
"Both encouraged me to reach out to [Page(""Piped Title"")] and asked [Page(""Piped Title"")] to reach out to me "|0.205|69||||||||||||||
Don't know/not sure |0.608|205||||||||||||||
 |Totals |337||||||||||||||
||||||||||||||||
||||||||||||||||
98.When <Community> referred you to [Page('Piped Title')], did they ask [Page('Piped Title')] staff to reach out to you - or did they encourage you to reach out to [Page('Piped Title')]?||||||||||||||||
Value |Percent |Count ||||||||||||||
"Asked [Page(""Piped Title"")] to reach out to me for an initial or follow-up conversation "|0.091|4||||||||||||||
"Encouraged me to reach out to [Page(""Piped Titled"")] for an initial conversation "|0.227|10||||||||||||||
"Both encouraged me to reach out to [Page(""Piped Title"")] and asked [Page(""Piped Title"")] to reach out to me "|0.205|9||||||||||||||
Don't know/not sure |0.477|21||||||||||||||
 |Totals |44||||||||||||||
||||||||||||||||
||||||||||||||||
99.How long did it take [Page('Piped Title')] staff member to reach out to you after you discussed your needs with <strong><Community></strong>?||||||||||||||||
||||||||||||||||
||||||||||||||||
"100.After you had your initial conversation with a staff member at [Page(""Piped Title"")], how long did it take for them to follow-up with you to provide assistance or resources after your initial conversations?"||||||||||||||||
||||||||||||||||
||||||||||||||||
101.Optional: Please feel free to share any additional information about the services and support you have received from <Community> or its Partners.||||||||||||||||
