Data Description:|Unnamed: 1
Including yourself, how many people do you support and consider to be part of your household?|"""1 - Just me"", ""2"", ""3"", ""4"", ""5"", ""6"", or ""Over 6"""
Single vs. Family|"""Single"" if answered ""1 - Just me""; ""Family"" if answered ""2"", ""3"", ""4"", ""5"", ""6"", or ""Over 6"""
Approximately how much was your household annual income for the previous year? |"""$0 (none)"", ""$1-$25,000"", ""$25,000-$40,000"", ""$40,000-$55,000"", ""$55,000-$70,000"", ""$70,000 or above"", or ""Don't know or prefer not to respond"""
Individual annual income:|"""$0 (none)"", ""$1-$25,000"", ""$25,000-$40,000"", ""$40,000-$55,000"", ""$55,000-$70,000"", ""$70,000 or above"", or ""Don't know or prefer not to respond"""
Have you ever used education benefits from the VA to pursue a degree or certification? (e.g., Montgomery, Post-9/11, GI Bill)|"""Yes"", ""No"", or ""I don't know/unsure"""
"At educational institutions/programs that you are currently enrolled in, have you had more than one ""withdrawal"" or ""incomplete"" course per semester or academic/course/training term?"|"""Yes"", ""No"", or ""Don't know"""
Did <Community Integration Organization> or an organization they referred you to, help you enroll in school/an educational program that you are attending or have attended? |"""Yes - helped me enroll at a school/in a program I am currently attending"", ""Yes - helped me enroll at a school/in a program I no longer attend"", ""Yes - helped me enroll at a school/in a program for a degree or certification I completed"", or ""No- did not help me enroll in a school/in a program"
What degree or level of school did you complete after <Community Integration Organization>/their Partner helped you enroll?|"Completed a ""Regular high school diploma or GED"", ""Business, technical or vocational school training leading to a certificate or diploma"", ""Associate's degree"", ""Bachelor's degree"", Master's degree"", or ""Professional or doctorate degree beyond a bachelor's degree"""
Where did you complete your degree or certificate at?|List where you completed your degree or certificate when <Community Integration Organization>/their Partner helped you enroll. 
Do you have a budget?|"""Yes"" or ""No"""
Do you regularly follow your budget?|"""Yes"" or ""No"""
Do you have any emergency savings?|"""Yes"" or ""No"""
Approximately how many months of expenses would your emergency savings cover?|"""Less than 1 month of expenses"", ""1-3 months of expenses"", or ""3 or more months of expenses"""
Do you know your credit score?|"""Yes"" or ""No"""
Approximately what is your credit score?|"""Less than 600"", ""600-659"", ""660-699"", ""700-740"", ""741 and higher"", or ""Prefer not to answer"""
Do you currently have any untreated medical conditions? Note: Medical conditions may include any short or long-term physical or mental issues (e.g., neck pain, traumatic brain injury (TBI), post-traumatic stress disorder (PTSD), sleep problems, diabetes, heart conditions etc.)|"""Yes"" or ""No"""
Chronic diseases or conditions including heart and circulatory conditions, cancers, respiratory disease (e.g., asthma), diabetes, allergies, arthritis, anemia, bronchitis, emphysema, epilepsy, HIV/AIDS, kidney disease, osteoporosis and thyroid conditions:Please check all that apply to indicate which type of medical conditions you are not currently receiving treatment for:|"""Chronic diseases or conditions including heart and circulatory conditions, cancers, respiratory disease (e.g., asthma), diabetes, allergies, arthritis, anemia, bronchitis, emphysema, epilepsy, HIV/AIDS, kidney disease, osteoporosis and thyroid conditions"""
Disabilities including sight or hearing problems, speech problems, limited use of legs or feet, and limited use of arms or fingers:Please check all that apply to indicate which type of medical conditions you are not currently receiving treatment for:|"""Disabilities including sight or hearing problems, speech problems, limited use of legs or feet, and limited use of arms or fingers"""
Bodily pain including burns, ankle/feet injuries, back, neck or shoulder problems, fractured bones, hand injuries, hip injuries, knee injuries or problems and nerve injuries:Please check all that apply to indicate which type of medical conditions you are not currently receiving treatment for:|"""Bodily pain including burns, ankle/feet injuries, back, neck or shoulder problems, fractured bones, hand injuries, hip injuries, knee injuries or problems and nerve injuries"""
Mental health conditions include anxiety, depression, post-traumatic stress disorder (PTSD), traumatic brain injury (TBI), migraines / severe headaches, military sexual trauma, and sleep problems:Please check all that apply to indicate which type of medical conditions you are not currently receiving treatment for:|"""Mental health conditions include anxiety, depression, post-traumatic stress disorder (PTSD), traumatic brain injury (TBI), migraines / severe headaches, military sexual trauma, and sleep problems"""
Prefer not to disclose:Please check all that apply to indicate which type of medical conditions you are not currently receiving treatment for:|"""Prefer not to disclose"""
Other::Please check all that apply to indicate which type of medical conditions you are not currently receiving treatment for:|"""Other"""
You have indicated that you have a form of healthcare coverage as well as you have untreated medical conditions. What prevents you from receiving treatment for your medical conditions?  |"""Unable to access healthcare provider (location or distance to privider is over 100 miles)"", ""Work/personal schedule doesn't allow for time off"", ""Unable to find healthcare provider that I like"", ""Fear of doctors"", or ""Other"""
Other - Write In:You have indicated that you have a form of healthcare coverage as well as you have untreated medical conditions. What prevents you from receiving treatment for your medical conditions? |List what is preventing you from receiving treatment for your medical condition.
Do you currently have any medical conditions that are being or have been treated? |"""Yes"" or ""No"""
Chronic diseases or conditions including heart and circulatory conditions, cancers, respiratory disease (e.g., asthma), diabetes, allergies, arthritis, anemia, bronchitis, emphysema, epilepsy, HIV/AIDS, kidney disease, osteoporosis and thyroid conditions:Please check all that apply to indicate which type of medical conditions you are currently receiving treatment for:|"""Chronic diseases or conditions including heart and circulatory conditions, cancers, respiratory disease (e.g., asthma), diabetes, allergies, arthritis, anemia, bronchitis, emphysema, epilepsy, HIV/AIDS, kidney disease, osteoporosis and thyroid conditions"""
Disabilities including sight or hearing problems, speech problems, limited use of legs or feet, and limited use of arms or fingers:Please check all that apply to indicate which type of medical conditions you are currently receiving treatment for:|"""Disabilities including sight or hearing problems, speech problems, limited use of legs or feet, and limited use of arms or fingers"""
Bodily pain including burns, ankle/feet injuries, back, neck or shoulder problems, fractured bones, hand injuries, hip injuries, knee injuries or problems and nerve injuries:Please check all that apply to indicate which type of medical conditions you are currently receiving treatment for:|"""Bodily pain including burns, ankle/feet injuries, back, neck or shoulder problems, fractured bones, hand injuries, hip injuries, knee injuries or problems and nerve injuries"""
Mental health conditions include anxiety, depression, post-traumatic stress disorder (PTSD), traumatic brain injury (TBI), migraines / severe headaches, military sexual trauma, and sleep problems:Please check all that apply to indicate which type of medical conditions you are currently receiving treatment for:|"""Mental health conditions include anxiety, depression, post-traumatic stress disorder (PTSD), traumatic brain injury (TBI), migraines / severe headaches, military sexual trauma, and sleep problems"""
Prefer not to disclose:Please check all that apply to indicate which type of medical conditions you are currently receiving treatment for:|"""Prefer not to disclose"""
Other::Please check all that apply to indicate which type of medical conditions you are currently receiving treatment for:|"""Other"""
Has <Community Integration Organization> or their Partners provided assistance in submitting or updating a healthcare/benefits claim?|"""Yes"" or ""No"""
Which organization helped you file a healthcare/benefits claim?|List which organization helped you file a healthcare/benefits claim.
Was the healthcare/benefits claim resolved?|"""Yes"" or ""No"""
Please indicate how long it took to resolve your healthcare/benefits claim:|"""Less than a month"", ""1-3 months"", ""4-6 months"", ""7-12 months"", or ""Over 12 months"""
Please indicate how long you have been waiting for a resolution of your un-resolved claims.|"""Less than a month"", ""1-3 months"", ""4-6 months"", ""7-12 months"", or ""Over 12 months"""
Were you deployed?|"""Yes"" or ""No"""
Were you ever deployed to a combat zone?Â |"""Yes"" or ""No"""
Number of Deployments:|List number of deployments in total.
Total Time Deployed in Months:|List total number of months deployed all together. 
On average, how many hours of sleep do you get each night?|"""Less than 5 hours"", ""5-6 hours"", ""7-8 hours"", or ""9 or more hours"""
Do you have any injuries or disabilities that prevent you from engaging in moderate physical activity? Moderate exercise includes: brisk walks, jogs, cycling, team sports etc. |"""Yes"" or ""No"""
Do you regularly exercise (engage in physical activity)?|"""Yes"" or ""No"""
On a weekly basis how much moderate exercise / physical activity do you typically complete? Moderate exercise includes: brisk walks, jogs, cycling, team sports etc. The table below provides a quick reference of total exercise time based on a 30 minute workout.|"""Under 1 hour"", 1-1.5 hours"", ""1.5-2 hours"", ""2-2.5 hours"", or ""Over 2.5 hours"""
Have you participated in a recreational therapy program?|"""Yes"" or ""No"""
Have you participated in adaptive sports programs?|"""Yes"" or ""No"""
Feet:About how tall are you without shoes? Please estimate to the best of your ability.|# of feet tall for individual
Inches:About how tall are you without shoes? Please estimate to the best of your ability.|# of inches tall for individual between 1-11 inches
What is your current weight? (in pounds) |# of pounds the individual weighs
